nid:67, ntitle:KD指标钝化的研判, tid:165, tname:股票, sql:insert into node_tags values(67,165)
nid:71, ntitle:投资者如何避免被市场猎杀, tid:466, tname:股东大会, sql:insert into node_tags values(71,466)
nid:71, ntitle:投资者如何避免被市场猎杀, tid:448, tname:公司, sql:insert into node_tags values(71,448)
nid:72, ntitle:全心全意服务股民, tid:165, tname:股票, sql:insert into node_tags values(72,165)
nid:72, ntitle:全心全意服务股民, tid:352, tname:证券, sql:insert into node_tags values(72,352)
nid:72, ntitle:全心全意服务股民, tid:51, tname:行情, sql:insert into node_tags values(72,51)
nid:72, ntitle:全心全意服务股民, tid:1092, tname:行情, sql:insert into node_tags values(72,1092)
nid:72, ntitle:全心全意服务股民, tid:816, tname:证券投资, sql:insert into node_tags values(72,816)
nid:72, ntitle:全心全意服务股民, tid:817, tname:证券投资分析, sql:insert into node_tags values(72,817)
nid:73, ntitle:最具安全边际25股盘点, tid:165, tname:股票, sql:insert into node_tags values(73,165)
nid:73, ntitle:最具安全边际25股盘点, tid:448, tname:公司, sql:insert into node_tags values(73,448)
nid:73, ntitle:最具安全边际25股盘点, tid:486, tname:资产, sql:insert into node_tags values(73,486)
nid:73, ntitle:最具安全边际25股盘点, tid:166, tname:股份, sql:insert into node_tags values(73,166)
nid:73, ntitle:最具安全边际25股盘点, tid:890, tname:行业, sql:insert into node_tags values(73,890)
nid:73, ntitle:最具安全边际25股盘点, tid:840, tname:净资产, sql:insert into node_tags values(73,840)
nid:74, ntitle:股民交易行为知多少, tid:165, tname:股票, sql:insert into node_tags values(74,165)
nid:74, ntitle:股民交易行为知多少, tid:1110, tname:割肉, sql:insert into node_tags values(74,1110)
nid:74, ntitle:股民交易行为知多少, tid:69, tname:割肉, sql:insert into node_tags values(74,69)
nid:74, ntitle:股民交易行为知多少, tid:43, tname:散户, sql:insert into node_tags values(74,43)
nid:74, ntitle:股民交易行为知多少, tid:1084, tname:散户, sql:insert into node_tags values(74,1084)
nid:74, ntitle:股民交易行为知多少, tid:1095, tname:熊市, sql:insert into node_tags values(74,1095)
nid:75, ntitle:在股市里装“僵尸”, tid:165, tname:股票, sql:insert into node_tags values(75,165)
nid:75, ntitle:在股市里装“僵尸”, tid:1092, tname:行情, sql:insert into node_tags values(75,1092)
nid:75, ntitle:在股市里装“僵尸”, tid:51, tname:行情, sql:insert into node_tags values(75,51)
nid:75, ntitle:在股市里装“僵尸”, tid:1101, tname:反弹, sql:insert into node_tags values(75,1101)
nid:75, ntitle:在股市里装“僵尸”, tid:60, tname:反弹, sql:insert into node_tags values(75,60)
nid:75, ntitle:在股市里装“僵尸”, tid:54, tname:熊市, sql:insert into node_tags values(75,54)
nid:79, ntitle:修“心”养性 理性投资, tid:165, tname:股票, sql:insert into node_tags values(79,165)
nid:79, ntitle:修“心”养性 理性投资, tid:448, tname:公司, sql:insert into node_tags values(79,448)
nid:79, ntitle:修“心”养性 理性投资, tid:993, tname:趋势, sql:insert into node_tags values(79,993)
nid:79, ntitle:修“心”养性 理性投资, tid:890, tname:行业, sql:insert into node_tags values(79,890)
nid:79, ntitle:修“心”养性 理性投资, tid:94, tname:趋势, sql:insert into node_tags values(79,94)
nid:80, ntitle:投资中的沉没成本, tid:165, tname:股票, sql:insert into node_tags values(80,165)
nid:80, ntitle:投资中的沉没成本, tid:462, tname:股东, sql:insert into node_tags values(80,462)
nid:81, ntitle:投资者如何计算当日盈亏, tid:165, tname:股票, sql:insert into node_tags values(81,165)
nid:81, ntitle:投资者如何计算当日盈亏, tid:1111, tname:跌停板, sql:insert into node_tags values(81,1111)
nid:81, ntitle:投资者如何计算当日盈亏, tid:1050, tname:涨跌, sql:insert into node_tags values(81,1050)
nid:81, ntitle:投资者如何计算当日盈亏, tid:339, tname:期货合约, sql:insert into node_tags values(81,339)
nid:81, ntitle:投资者如何计算当日盈亏, tid:9, tname:涨跌, sql:insert into node_tags values(81,9)
nid:81, ntitle:投资者如何计算当日盈亏, tid:70, tname:跌停板, sql:insert into node_tags values(81,70)
nid:82, ntitle:股指期货撮合的原则是什么, tid:165, tname:股票, sql:insert into node_tags values(82,165)
nid:82, ntitle:股指期货撮合的原则是什么, tid:700, tname:时间优先原则, sql:insert into node_tags values(82,700)
nid:82, ntitle:股指期货撮合的原则是什么, tid:699, tname:价格优先原则, sql:insert into node_tags values(82,699)
nid:83, ntitle:股指期货采用竞价两种成交方式, tid:165, tname:股票, sql:insert into node_tags values(83,165)
nid:83, ntitle:股指期货采用竞价两种成交方式, tid:702, tname:连续竞价, sql:insert into node_tags values(83,702)
nid:84, ntitle:哪些是周期性股票, tid:165, tname:股票, sql:insert into node_tags values(84,165)
nid:84, ntitle:哪些是周期性股票, tid:890, tname:行业, sql:insert into node_tags values(84,890)
nid:84, ntitle:哪些是周期性股票, tid:448, tname:公司, sql:insert into node_tags values(84,448)
nid:84, ntitle:哪些是周期性股票, tid:901, tname:周期性行业, sql:insert into node_tags values(84,901)
nid:84, ntitle:哪些是周期性股票, tid:1061, tname:反转, sql:insert into node_tags values(84,1061)
nid:84, ntitle:哪些是周期性股票, tid:1095, tname:熊市, sql:insert into node_tags values(84,1095)
nid:91, ntitle:股票分红为何要除权？, tid:165, tname:股票, sql:insert into node_tags values(91,165)
nid:91, ntitle:股票分红为何要除权？, tid:448, tname:公司, sql:insert into node_tags values(91,448)
nid:91, ntitle:股票分红为何要除权？, tid:33, tname:股本, sql:insert into node_tags values(91,33)
nid:91, ntitle:股票分红为何要除权？, tid:1074, tname:股本, sql:insert into node_tags values(91,1074)
nid:91, ntitle:股票分红为何要除权？, tid:462, tname:股东, sql:insert into node_tags values(91,462)
nid:91, ntitle:股票分红为何要除权？, tid:539, tname:配股, sql:insert into node_tags values(91,539)
nid:92, ntitle:什么是市场中的系统风险？, tid:165, tname:股票, sql:insert into node_tags values(92,165)
nid:92, ntitle:什么是市场中的系统风险？, tid:352, tname:证券, sql:insert into node_tags values(92,352)
nid:92, ntitle:什么是市场中的系统风险？, tid:372, tname:系统风险, sql:insert into node_tags values(92,372)
nid:92, ntitle:什么是市场中的系统风险？, tid:448, tname:公司, sql:insert into node_tags values(92,448)
nid:92, ntitle:什么是市场中的系统风险？, tid:772, tname:系统性风险, sql:insert into node_tags values(92,772)
nid:92, ntitle:什么是市场中的系统风险？, tid:216, tname:股票价格, sql:insert into node_tags values(92,216)
nid:94, ntitle:证券代码的识别, tid:165, tname:股票, sql:insert into node_tags values(94,165)
nid:94, ntitle:证券代码的识别, tid:352, tname:证券, sql:insert into node_tags values(94,352)
nid:94, ntitle:证券代码的识别, tid:707, tname:配股, sql:insert into node_tags values(94,707)
nid:94, ntitle:证券代码的识别, tid:539, tname:配股, sql:insert into node_tags values(94,539)
nid:94, ntitle:证券代码的识别, tid:876, tname:国债, sql:insert into node_tags values(94,876)
nid:94, ntitle:证券代码的识别, tid:201, tname:债券, sql:insert into node_tags values(94,201)
nid:95, ntitle:沪深两地的股市简介, tid:165, tname:股票, sql:insert into node_tags values(95,165)
nid:95, ntitle:沪深两地的股市简介, tid:352, tname:证券, sql:insert into node_tags values(95,352)
nid:95, ntitle:沪深两地的股市简介, tid:614, tname:证券交易, sql:insert into node_tags values(95,614)
nid:95, ntitle:沪深两地的股市简介, tid:647, tname:证券交易所, sql:insert into node_tags values(95,647)
nid:95, ntitle:沪深两地的股市简介, tid:518, tname:证券交易所, sql:insert into node_tags values(95,518)
nid:95, ntitle:沪深两地的股市简介, tid:448, tname:公司, sql:insert into node_tags values(95,448)
nid:96, ntitle:股票回购的概念, tid:165, tname:股票, sql:insert into node_tags values(96,165)
nid:96, ntitle:股票回购的概念, tid:448, tname:公司, sql:insert into node_tags values(96,448)
nid:96, ntitle:股票回购的概念, tid:166, tname:股份, sql:insert into node_tags values(96,166)
nid:96, ntitle:股票回购的概念, tid:968, tname:股份回购, sql:insert into node_tags values(96,968)
nid:96, ntitle:股票回购的概念, tid:462, tname:股东, sql:insert into node_tags values(96,462)
nid:96, ntitle:股票回购的概念, tid:216, tname:股票价格, sql:insert into node_tags values(96,216)
nid:97, ntitle:什么是仙股？, tid:165, tname:股票, sql:insert into node_tags values(97,165)
nid:97, ntitle:什么是仙股？, tid:486, tname:资产, sql:insert into node_tags values(97,486)
nid:97, ntitle:什么是仙股？, tid:448, tname:公司, sql:insert into node_tags values(97,448)
nid:99, ntitle:海外市场融资融券交易制度分析, tid:165, tname:股票, sql:insert into node_tags values(99,165)
nid:99, ntitle:海外市场融资融券交易制度分析, tid:352, tname:证券, sql:insert into node_tags values(99,352)
nid:99, ntitle:海外市场融资融券交易制度分析, tid:448, tname:公司, sql:insert into node_tags values(99,448)
nid:99, ntitle:海外市场融资融券交易制度分析, tid:492, tname:证券公司, sql:insert into node_tags values(99,492)
nid:99, ntitle:海外市场融资融券交易制度分析, tid:1114, tname:证券公司, sql:insert into node_tags values(99,1114)
nid:99, ntitle:海外市场融资融券交易制度分析, tid:366, tname:金融市场, sql:insert into node_tags values(99,366)
nid:100, ntitle:融资融券保证金比例有什么作用, tid:165, tname:股票, sql:insert into node_tags values(100,165)
nid:100, ntitle:融资融券保证金比例有什么作用, tid:448, tname:公司, sql:insert into node_tags values(100,448)
nid:100, ntitle:融资融券保证金比例有什么作用, tid:352, tname:证券, sql:insert into node_tags values(100,352)
nid:100, ntitle:融资融券保证金比例有什么作用, tid:462, tname:股东, sql:insert into node_tags values(100,462)
nid:100, ntitle:融资融券保证金比例有什么作用, tid:970, tname:关联交易, sql:insert into node_tags values(100,970)
nid:100, ntitle:融资融券保证金比例有什么作用, tid:668, tname:证券账户, sql:insert into node_tags values(100,668)
nid:102, ntitle:分清主板与中小板差别, tid:165, tname:股票, sql:insert into node_tags values(102,165)
nid:102, ntitle:分清主板与中小板差别, tid:701, tname:集合竞价, sql:insert into node_tags values(102,701)
nid:102, ntitle:分清主板与中小板差别, tid:1108, tname:换手率, sql:insert into node_tags values(102,1108)
nid:102, ntitle:分清主板与中小板差别, tid:67, tname:换手率, sql:insert into node_tags values(102,67)
nid:102, ntitle:分清主板与中小板差别, tid:702, tname:连续竞价, sql:insert into node_tags values(102,702)
nid:102, ntitle:分清主板与中小板差别, tid:1050, tname:涨跌, sql:insert into node_tags values(102,1050)
nid:103, ntitle:股票基本术语汇总, tid:165, tname:股票, sql:insert into node_tags values(103,165)
nid:103, ntitle:股票基本术语汇总, tid:1051, tname:价位, sql:insert into node_tags values(103,1051)
nid:103, ntitle:股票基本术语汇总, tid:10, tname:价位, sql:insert into node_tags values(103,10)
nid:103, ntitle:股票基本术语汇总, tid:448, tname:公司, sql:insert into node_tags values(103,448)
nid:103, ntitle:股票基本术语汇总, tid:844, tname:市盈率, sql:insert into node_tags values(103,844)
nid:103, ntitle:股票基本术语汇总, tid:945, tname:市盈率, sql:insert into node_tags values(103,945)
nid:104, ntitle:股票获利来源有哪些？, tid:165, tname:股票, sql:insert into node_tags values(104,165)
nid:104, ntitle:股票获利来源有哪些？, tid:448, tname:公司, sql:insert into node_tags values(104,448)
nid:104, ntitle:股票获利来源有哪些？, tid:462, tname:股东, sql:insert into node_tags values(104,462)
nid:104, ntitle:股票获利来源有哪些？, tid:381, tname:利润, sql:insert into node_tags values(104,381)
nid:104, ntitle:股票获利来源有哪些？, tid:518, tname:证券交易所, sql:insert into node_tags values(104,518)
nid:104, ntitle:股票获利来源有哪些？, tid:647, tname:证券交易所, sql:insert into node_tags values(104,647)
nid:105, ntitle:股息红利与除权除息, tid:165, tname:股票, sql:insert into node_tags values(105,165)
nid:105, ntitle:股息红利与除权除息, tid:448, tname:公司, sql:insert into node_tags values(105,448)
nid:105, ntitle:股息红利与除权除息, tid:462, tname:股东, sql:insert into node_tags values(105,462)
nid:105, ntitle:股息红利与除权除息, tid:209, tname:股息, sql:insert into node_tags values(105,209)
nid:105, ntitle:股息红利与除权除息, tid:381, tname:利润, sql:insert into node_tags values(105,381)
nid:105, ntitle:股息红利与除权除息, tid:486, tname:资产, sql:insert into node_tags values(105,486)
nid:106, ntitle:股票发行相关知识, tid:165, tname:股票, sql:insert into node_tags values(106,165)
nid:106, ntitle:股票发行相关知识, tid:448, tname:公司, sql:insert into node_tags values(106,448)
nid:106, ntitle:股票发行相关知识, tid:352, tname:证券, sql:insert into node_tags values(106,352)
nid:106, ntitle:股票发行相关知识, tid:614, tname:证券交易, sql:insert into node_tags values(106,614)
nid:106, ntitle:股票发行相关知识, tid:518, tname:证券交易所, sql:insert into node_tags values(106,518)
nid:106, ntitle:股票发行相关知识, tid:647, tname:证券交易所, sql:insert into node_tags values(106,647)
nid:107, ntitle:股票的五种分类, tid:165, tname:股票, sql:insert into node_tags values(107,165)
nid:107, ntitle:股票的五种分类, tid:448, tname:公司, sql:insert into node_tags values(107,448)
nid:107, ntitle:股票的五种分类, tid:462, tname:股东, sql:insert into node_tags values(107,462)
nid:107, ntitle:股票的五种分类, tid:209, tname:股息, sql:insert into node_tags values(107,209)
nid:107, ntitle:股票的五种分类, tid:166, tname:股份, sql:insert into node_tags values(107,166)
nid:107, ntitle:股票的五种分类, tid:707, tname:配股, sql:insert into node_tags values(107,707)
nid:108, ntitle:股票指数的定义与种类, tid:165, tname:股票, sql:insert into node_tags values(108,165)
nid:108, ntitle:股票指数的定义与种类, tid:352, tname:证券, sql:insert into node_tags values(108,352)
nid:108, ntitle:股票指数的定义与种类, tid:614, tname:证券交易, sql:insert into node_tags values(108,614)
nid:108, ntitle:股票指数的定义与种类, tid:647, tname:证券交易所, sql:insert into node_tags values(108,647)
nid:108, ntitle:股票指数的定义与种类, tid:518, tname:证券交易所, sql:insert into node_tags values(108,518)
nid:108, ntitle:股票指数的定义与种类, tid:216, tname:股票价格, sql:insert into node_tags values(108,216)
nid:109, ntitle:股票市场基础知识, tid:165, tname:股票, sql:insert into node_tags values(109,165)
nid:109, ntitle:股票市场基础知识, tid:352, tname:证券, sql:insert into node_tags values(109,352)
nid:109, ntitle:股票市场基础知识, tid:448, tname:公司, sql:insert into node_tags values(109,448)
nid:109, ntitle:股票市场基础知识, tid:536, tname:股票发行, sql:insert into node_tags values(109,536)
nid:109, ntitle:股票市场基础知识, tid:201, tname:债券, sql:insert into node_tags values(109,201)
nid:109, ntitle:股票市场基础知识, tid:614, tname:证券交易, sql:insert into node_tags values(109,614)
nid:110, ntitle:股票的基本概念, tid:165, tname:股票, sql:insert into node_tags values(110,165)
nid:110, ntitle:股票的基本概念, tid:448, tname:公司, sql:insert into node_tags values(110,448)
nid:110, ntitle:股票的基本概念, tid:166, tname:股份, sql:insert into node_tags values(110,166)
nid:110, ntitle:股票的基本概念, tid:718, tname:清算, sql:insert into node_tags values(110,718)
nid:110, ntitle:股票的基本概念, tid:462, tname:股东, sql:insert into node_tags values(110,462)
nid:110, ntitle:股票的基本概念, tid:486, tname:资产, sql:insert into node_tags values(110,486)
nid:111, ntitle:为什么要买股票？, tid:165, tname:股票, sql:insert into node_tags values(111,165)
nid:111, ntitle:为什么要买股票？, tid:448, tname:公司, sql:insert into node_tags values(111,448)
nid:111, ntitle:为什么要买股票？, tid:865, tname:通货膨胀, sql:insert into node_tags values(111,865)
nid:111, ntitle:为什么要买股票？, tid:201, tname:债券, sql:insert into node_tags values(111,201)
nid:111, ntitle:为什么要买股票？, tid:993, tname:趋势, sql:insert into node_tags values(111,993)
nid:111, ntitle:为什么要买股票？, tid:1074, tname:股本, sql:insert into node_tags values(111,1074)
nid:112, ntitle:投资中的“不必要部分”, tid:165, tname:股票, sql:insert into node_tags values(112,165)
nid:112, ntitle:投资中的“不必要部分”, tid:831, tname:技术分析, sql:insert into node_tags values(112,831)
nid:112, ntitle:投资中的“不必要部分”, tid:804, tname:内幕信息, sql:insert into node_tags values(112,804)
nid:112, ntitle:投资中的“不必要部分”, tid:890, tname:行业, sql:insert into node_tags values(112,890)
nid:112, ntitle:投资中的“不必要部分”, tid:803, tname:内幕交易, sql:insert into node_tags values(112,803)
nid:112, ntitle:投资中的“不必要部分”, tid:1110, tname:割肉, sql:insert into node_tags values(112,1110)
nid:119, ntitle:怎样参与可转债申购, tid:165, tname:股票, sql:insert into node_tags values(119,165)
nid:119, ntitle:怎样参与可转债申购, tid:201, tname:债券, sql:insert into node_tags values(119,201)
nid:119, ntitle:怎样参与可转债申购, tid:216, tname:股票价格, sql:insert into node_tags values(119,216)
nid:119, ntitle:怎样参与可转债申购, tid:672, tname:股权登记, sql:insert into node_tags values(119,672)
nid:119, ntitle:怎样参与可转债申购, tid:598, tname:可转换公司债券, sql:insert into node_tags values(119,598)
nid:119, ntitle:怎样参与可转债申购, tid:867, tname:利率, sql:insert into node_tags values(119,867)
nid:122, ntitle:如何免费查询沪市新股配号中签结果, tid:165, tname:股票, sql:insert into node_tags values(122,165)
nid:122, ntitle:如何免费查询沪市新股配号中签结果, tid:448, tname:公司, sql:insert into node_tags values(122,448)
nid:122, ntitle:如何免费查询沪市新股配号中签结果, tid:462, tname:股东, sql:insert into node_tags values(122,462)
nid:122, ntitle:如何免费查询沪市新股配号中签结果, tid:352, tname:证券, sql:insert into node_tags values(122,352)
nid:122, ntitle:如何免费查询沪市新股配号中签结果, tid:1092, tname:行情, sql:insert into node_tags values(122,1092)
nid:122, ntitle:如何免费查询沪市新股配号中签结果, tid:466, tname:股东大会, sql:insert into node_tags values(122,466)
nid:124, ntitle:新股民开户四步走, tid:165, tname:股票, sql:insert into node_tags values(124,165)
nid:124, ntitle:新股民开户四步走, tid:352, tname:证券, sql:insert into node_tags values(124,352)
nid:124, ntitle:新股民开户四步走, tid:1114, tname:证券公司, sql:insert into node_tags values(124,1114)
nid:124, ntitle:新股民开户四步走, tid:492, tname:证券公司, sql:insert into node_tags values(124,492)
nid:124, ntitle:新股民开户四步走, tid:448, tname:公司, sql:insert into node_tags values(124,448)
nid:124, ntitle:新股民开户四步走, tid:663, tname:股票账户, sql:insert into node_tags values(124,663)
nid:125, ntitle:如何看分时走势图, tid:165, tname:股票, sql:insert into node_tags values(125,165)
nid:125, ntitle:如何看分时走势图, tid:1107, tname:委比, sql:insert into node_tags values(125,1107)
nid:125, ntitle:如何看分时走势图, tid:66, tname:委比, sql:insert into node_tags values(125,66)
nid:125, ntitle:如何看分时走势图, tid:1074, tname:股本, sql:insert into node_tags values(125,1074)
nid:125, ntitle:如何看分时走势图, tid:9, tname:涨跌, sql:insert into node_tags values(125,9)
nid:125, ntitle:如何看分时走势图, tid:33, tname:股本, sql:insert into node_tags values(125,33)
nid:126, ntitle:IPO新规下的申购全攻略, tid:165, tname:股票, sql:insert into node_tags values(126,165)
nid:126, ntitle:IPO新规下的申购全攻略, tid:448, tname:公司, sql:insert into node_tags values(126,448)
nid:126, ntitle:IPO新规下的申购全攻略, tid:352, tname:证券, sql:insert into node_tags values(126,352)
nid:126, ntitle:IPO新规下的申购全攻略, tid:166, tname:股份, sql:insert into node_tags values(126,166)
nid:126, ntitle:IPO新规下的申购全攻略, tid:983, tname:日收盘价, sql:insert into node_tags values(126,983)
nid:126, ntitle:IPO新规下的申购全攻略, tid:553, tname:承销, sql:insert into node_tags values(126,553)
nid:127, ntitle:股民需熟悉的五个财务指标, tid:165, tname:股票, sql:insert into node_tags values(127,165)
nid:127, ntitle:股民需熟悉的五个财务指标, tid:448, tname:公司, sql:insert into node_tags values(127,448)
nid:127, ntitle:股民需熟悉的五个财务指标, tid:486, tname:资产, sql:insert into node_tags values(127,486)
nid:127, ntitle:股民需熟悉的五个财务指标, tid:840, tname:净资产, sql:insert into node_tags values(127,840)
nid:127, ntitle:股民需熟悉的五个财务指标, tid:947, tname:每股净资产, sql:insert into node_tags values(127,947)
nid:127, ntitle:股民需熟悉的五个财务指标, tid:381, tname:利润, sql:insert into node_tags values(127,381)
nid:130, ntitle:散户实战技巧大探讨：怎样才能战胜市场？, tid:165, tname:股票, sql:insert into node_tags values(130,165)
nid:130, ntitle:散户实战技巧大探讨：怎样才能战胜市场？, tid:94, tname:趋势, sql:insert into node_tags values(130,94)
nid:130, ntitle:散户实战技巧大探讨：怎样才能战胜市场？, tid:993, tname:趋势, sql:insert into node_tags values(130,993)
nid:130, ntitle:散户实战技巧大探讨：怎样才能战胜市场？, tid:83, tname:K线, sql:insert into node_tags values(130,83)
nid:130, ntitle:散户实战技巧大探讨：怎样才能战胜市场？, tid:978, tname:K线, sql:insert into node_tags values(130,978)
nid:130, ntitle:散户实战技巧大探讨：怎样才能战胜市场？, tid:1079, tname:利空, sql:insert into node_tags values(130,1079)
nid:132, ntitle:与证券经纪人打交道应注意什么？, tid:165, tname:股票, sql:insert into node_tags values(132,165)
nid:132, ntitle:与证券经纪人打交道应注意什么？, tid:352, tname:证券, sql:insert into node_tags values(132,352)
nid:132, ntitle:与证券经纪人打交道应注意什么？, tid:492, tname:证券公司, sql:insert into node_tags values(132,492)
nid:132, ntitle:与证券经纪人打交道应注意什么？, tid:448, tname:公司, sql:insert into node_tags values(132,448)
nid:132, ntitle:与证券经纪人打交道应注意什么？, tid:1114, tname:证券公司, sql:insert into node_tags values(132,1114)
nid:132, ntitle:与证券经纪人打交道应注意什么？, tid:816, tname:证券投资, sql:insert into node_tags values(132,816)
nid:134, ntitle:创业板投资须注意问题, tid:165, tname:股票, sql:insert into node_tags values(134,165)
nid:134, ntitle:创业板投资须注意问题, tid:448, tname:公司, sql:insert into node_tags values(134,448)
nid:134, ntitle:创业板投资须注意问题, tid:352, tname:证券, sql:insert into node_tags values(134,352)
nid:134, ntitle:创业板投资须注意问题, tid:890, tname:行业, sql:insert into node_tags values(134,890)
nid:134, ntitle:创业板投资须注意问题, tid:1114, tname:证券公司, sql:insert into node_tags values(134,1114)
nid:134, ntitle:创业板投资须注意问题, tid:492, tname:证券公司, sql:insert into node_tags values(134,492)
nid:137, ntitle:新股民要补哪些课?, tid:165, tname:股票, sql:insert into node_tags values(137,165)
nid:137, ntitle:新股民要补哪些课?, tid:448, tname:公司, sql:insert into node_tags values(137,448)
nid:137, ntitle:新股民要补哪些课?, tid:352, tname:证券, sql:insert into node_tags values(137,352)
nid:137, ntitle:新股民要补哪些课?, tid:1092, tname:行情, sql:insert into node_tags values(137,1092)
nid:137, ntitle:新股民要补哪些课?, tid:1107, tname:委比, sql:insert into node_tags values(137,1107)
nid:137, ntitle:新股民要补哪些课?, tid:890, tname:行业, sql:insert into node_tags values(137,890)
nid:138, ntitle:如何做一个成功的投资人, tid:165, tname:股票, sql:insert into node_tags values(138,165)
nid:138, ntitle:如何做一个成功的投资人, tid:352, tname:证券, sql:insert into node_tags values(138,352)
nid:138, ntitle:如何做一个成功的投资人, tid:890, tname:行业, sql:insert into node_tags values(138,890)
nid:138, ntitle:如何做一个成功的投资人, tid:448, tname:公司, sql:insert into node_tags values(138,448)
nid:138, ntitle:如何做一个成功的投资人, tid:816, tname:证券投资, sql:insert into node_tags values(138,816)
nid:138, ntitle:如何做一个成功的投资人, tid:831, tname:技术分析, sql:insert into node_tags values(138,831)
nid:139, ntitle:散户新手如何投资股票？, tid:165, tname:股票, sql:insert into node_tags values(139,165)
nid:139, ntitle:散户新手如何投资股票？, tid:43, tname:散户, sql:insert into node_tags values(139,43)
nid:139, ntitle:散户新手如何投资股票？, tid:1084, tname:散户, sql:insert into node_tags values(139,1084)
nid:139, ntitle:散户新手如何投资股票？, tid:448, tname:公司, sql:insert into node_tags values(139,448)
nid:140, ntitle:市盈率的高低说明什么?, tid:165, tname:股票, sql:insert into node_tags values(140,165)
nid:140, ntitle:市盈率的高低说明什么?, tid:945, tname:市盈率, sql:insert into node_tags values(140,945)
nid:140, ntitle:市盈率的高低说明什么?, tid:844, tname:市盈率, sql:insert into node_tags values(140,844)
nid:140, ntitle:市盈率的高低说明什么?, tid:448, tname:公司, sql:insert into node_tags values(140,448)
nid:140, ntitle:市盈率的高低说明什么?, tid:890, tname:行业, sql:insert into node_tags values(140,890)
nid:141, ntitle:诚信档案是投资者选股的重要参考, tid:165, tname:股票, sql:insert into node_tags values(141,165)
nid:141, ntitle:诚信档案是投资者选股的重要参考, tid:448, tname:公司, sql:insert into node_tags values(141,448)
nid:141, ntitle:诚信档案是投资者选股的重要参考, tid:352, tname:证券, sql:insert into node_tags values(141,352)
nid:141, ntitle:诚信档案是投资者选股的重要参考, tid:649, tname:会员, sql:insert into node_tags values(141,649)
nid:141, ntitle:诚信档案是投资者选股的重要参考, tid:1114, tname:证券公司, sql:insert into node_tags values(141,1114)
nid:141, ntitle:诚信档案是投资者选股的重要参考, tid:492, tname:证券公司, sql:insert into node_tags values(141,492)
nid:143, ntitle:大宗交易基本知识问答, tid:165, tname:股票, sql:insert into node_tags values(143,165)
nid:143, ntitle:大宗交易基本知识问答, tid:352, tname:证券, sql:insert into node_tags values(143,352)
nid:143, ntitle:大宗交易基本知识问答, tid:649, tname:会员, sql:insert into node_tags values(143,649)
nid:143, ntitle:大宗交易基本知识问答, tid:201, tname:债券, sql:insert into node_tags values(143,201)
nid:143, ntitle:大宗交易基本知识问答, tid:1, tname:成交数量, sql:insert into node_tags values(143,1)
nid:143, ntitle:大宗交易基本知识问答, tid:1042, tname:成交数量, sql:insert into node_tags values(143,1042)
